campaign_name,campaign_id,adset_name,adset_id,ad_name,ad_id,spend,impressions,clicks,ctr,cpc,date_start,date_stop,website_purchase_roas,spend_eur
27 DECEMBER - Elegant Men's Fur-lined Winter Coat- 1.59 - SINGLE PRODUCT,120214501246520719,BROAD 2,120214501246530719,AD 2,120214501748130719,0.14,10,0,0,,2023-07-27,2025-03-18,,0.13440000000000002
27 DECEMBER - Elegant Men's Fur-lined Winter Coat- 1.59 - SINGLE PRODUCT,120214501246520719,STACK 1,120214505076810719,AD 2,120214505076770719,0.94,65,4,6.153846,0.235,2023-07-27,2025-03-18,,0.9023999999999999
27 DECEMBER - Elegant Men's Fur-lined Winter Coat- 1.59 - SINGLE PRODUCT,120214501246520719,STACK 2,120214505076840719,AD 1,120214505076780719,3.57,308,8,2.597403,0.44625,2023-07-27,2025-03-18,,3.4271999999999996
27 DECEMBER - Elegant Men's Fur-lined Winter Coat- 1.59 - SINGLE PRODUCT,120214501246520719,BROAD 1,120214505076760719,AD 1,120214505076790719,1.54,96,3,3.125,0.513333,2023-07-27,2025-03-18,,1.4784
27 DECEMBER - Elegant Men's Fur-lined Winter Coat- 1.59 - SINGLE PRODUCT,120214501246520719,STACK 1,120214505076810719,AD 1,120214505076800719,0.04,7,0,0,,2023-07-27,2025-03-18,,0.0384
27 DECEMBER - Elegant Men's Fur-lined Winter Coat- 1.59 - SINGLE PRODUCT,120214501246520719,BROAD 1,120214505076760719,AD 2,120214505076820719,4.22,318,5,1.572327,0.844,2023-07-27,2025-03-18,,4.0512
27 DECEMBER - Elegant Men's Fur-lined Winter Coat- 1.59 - SINGLE PRODUCT,120214501246520719,STACK 2,120214505076840719,AD 2,120214505076830719,2.6,192,6,3.125,0.433333,2023-07-27,2025-03-18,,2.496
27 DECEMBER - Sparkling Long-sleeved Sequin Mini Dress- 1.58 - SINGLE PRODUCT,120214505224130719,STACK 2,120214505224210719,AD 1,120214505224120719,1.9,94,1,1.06383,1.9,2023-07-27,2025-03-18,,1.8239999999999998
27 DECEMBER - Sparkling Long-sleeved Sequin Mini Dress- 1.58 - SINGLE PRODUCT,120214505224130719,STACK 2,120214505224210719,AD 2,120214505441390719,1.73,53,5,9.433962,0.346,2023-07-27,2025-03-18,,1.6607999999999998
27 DECEMBER - Sparkling Long-sleeved Sequin Mini Dress- 1.58 - SINGLE PRODUCT,120214505224130719,BROAD 1,120214505452910719,AD 2,120214505452840719,1.9,57,4,7.017544,0.475,2023-07-27,2025-03-18,,1.8239999999999998
27 DECEMBER - Sparkling Long-sleeved Sequin Mini Dress- 1.58 - SINGLE PRODUCT,120214505224130719,BROAD 2,120214505452880719,AD 1,120214505452850719,1.65,78,3,3.846154,0.55,2023-07-27,2025-03-18,,1.5839999999999999
27 DECEMBER - Sparkling Long-sleeved Sequin Mini Dress- 1.58 - SINGLE PRODUCT,120214505224130719,STACK 1,120214505452890719,AD 1,120214505452860719,2.53,159,0,0,,2023-07-27,2025-03-18,,2.4288
27 DECEMBER - Sparkling Long-sleeved Sequin Mini Dress- 1.58 - SINGLE PRODUCT,120214505224130719,BROAD 2,120214505452880719,AD 2,120214505452870719,2.37,104,4,3.846154,0.5925,2023-07-27,2025-03-18,,2.2752
27 DECEMBER - Sparkling Long-sleeved Sequin Mini Dress- 1.58 - SINGLE PRODUCT,120214505224130719,STACK 1,120214505452890719,AD 2,120214505452900719,0.86,34,1,2.941176,0.86,2023-07-27,2025-03-18,,0.8256
27 DECEMBER - Sparkling Long-sleeved Sequin Mini Dress- 1.58 - SINGLE PRODUCT,120214505224130719,BROAD 1,120214505452910719,AD 1,120214505452930719,2.56,160,2,1.25,1.28,2023-07-27,2025-03-18,,2.4576
30 DECEMBER - Classic Leather Jacket - 1.57 - SINGLE PRODUCT,120214526621580719,STACK 1,120214526621630719,AD 1,120214526621660719,3.49,256,25,9.765625,0.1396,2023-07-27,2025-03-18,,3.3504
