campaign_name,campaign_id,spend,impressions,clicks,ctr,cpc,date_start,date_stop,website_purchase_roas,spend_eur,ctr_pct,roas
2 JANUARY - High Waisted Sculpting Cargo Pants - 1.60 - SINGLE PRODUCT,120214603427090719,30.74,1739,53,3.047729,0.58,2023-07-27,2025-03-18,,29.510399999999997,3.0477285796434734,0
3 JANUARY - Warm Winter Wool Sweater - 1.37 - SINGLE PRODUCT,120214617113250719,40.59,2495,88,3.527054,0.46125,2023-07-27,2025-03-18,,38.9664,3.527054108216433,0
3 JANUARY - Elegant Cozy Cardigan - 1.45 - SINGLE PRODUCT,120214637119290719,46.81,3306,189,5.716878,0.247672,2023-07-27,2025-03-18,,44.9376,5.716878402903811,0
3 JANUARY - Pullover Hooded Sweater - 1.55 - SINGLE PRODUCT,120214637340170719,39.81,3477,65,1.869428,0.612462,2023-07-27,2025-03-18,,38.2176,1.8694276675294794,0
3 JANUARY - Luxurious Glitter Knit Zip-up Sweater - 1.59 - SINGLE PRODUCT,120214638001000719,42.73,1576,162,10.279188,0.263765,2023-07-27,2025-03-18,"[{'action_type': 'offsite_conversion.fb_pixel_purchase', 'value': '1.722443'}]",41.020799999999994,10.279187817258883,0
3 JANUARY - Classic Fur-lined Leather Jacket - 1.57 - SINGLE PRODUCT,120214638850820719,42.25,3498,74,2.115495,0.570946,2023-07-27,2025-03-18,,40.559999999999995,2.115494568324757,0
4 JANUARY -  Elegant Pleated Dress - 1.58 - SINGLE PRODUCT,120214650470880719,26.07,1401,54,3.85439,0.482778,2023-07-27,2025-03-18,,25.0272,3.854389721627409,0
4 JANUARY - Balaclava Hooded Jacket - 1.68 - SINGLE PRODUCT,120214650523560719,26.19,3039,56,1.842711,0.467679,2023-07-27,2025-03-18,,25.1424,1.8427114182296807,0
4 JANUARY - Stylish Quilted Winter Jacket  - 1.57- SINGLE PRODUCT,120214650589090719,78.02,3111,212,6.814529,0.368019,2023-07-27,2025-03-18,"[{'action_type': 'offsite_conversion.fb_pixel_purchase', 'value': '0.789541'}]",74.8992,6.814529090324655,0
4 JANUARY - Stylish Winter Boots  - 1.58 - SINGLE PRODUCT,120214650657780719,26.64,1722,67,3.890825,0.397612,2023-07-27,2025-03-18,,25.5744,3.8908246225319396,0
4 JANUARY - Sporty Hooded Winter Jacket  - 1.48 - SINGLE PRODUCT,120214650713950719,25.4,2397,19,0.792657,1.336842,2023-07-27,2025-03-18,,24.383999999999997,0.7926574885273258,0
5 JANUARY - Glittery Long-Sleeved Fringe Dress - 1.53 - SINGLE PRODUCT,120214664011520719,30.45,2294,47,2.048823,0.647872,2023-07-27,2025-03-18,,29.232,2.048823016564952,0
5 JANUARY - Warm Down Jacket - 1.57 - SINGLE PRODUCT,120214691512340719,90.94,5387,233,4.325227,0.3903,2023-07-27,2025-03-18,,87.30239999999999,4.325227399294598,0
5 JANUARY - Stand Collar Quilted Winter Jacket - 1.57 - SINGLE PRODUCT,120214691568880719,28.97,2365,56,2.367865,0.517321,2023-07-27,2025-03-18,,27.8112,2.367864693446089,0
6 JANUARY - Soft Cashmere Zip-up Jacket - 1.57 - SINGLE PRODUCT,120214691636140719,41.09,2310,108,4.675325,0.380463,2023-07-27,2025-03-18,,39.446400000000004,4.675324675324675,0
6 JANUARY - Stretchy High-waisted Wide Leg Pants - 1.54 - SINGLE PRODUCT,120214691681960719,40.55,1964,78,3.971487,0.519872,2023-07-27,2025-03-18,,38.928,3.971486761710794,0
6 JANUARY - Elegant Classic Plaid Print Dress - 1.50 - SINGLE PRODUCT,120214691727750719,37.42,2424,60,2.475248,0.623667,2023-07-27,2025-03-18,,35.9232,2.4752475247524752,0
7 JANUARY - C05 ADS collection (Jan 4) - COLLECTION,120214726716310719,82.8,3858,139,3.602903,0.595683,2023-07-27,2025-03-18,"[{'action_type': 'offsite_conversion.fb_pixel_purchase', 'value': '1.180314'}]",79.488,3.602903058579575,0
8 JANUARY - C06 ADS collection (Jan 4) - COLLECTION,120214726820750719,104.26,8074,187,2.316076,0.55754,2023-07-27,2025-03-18,"[{'action_type': 'offsite_conversion.fb_pixel_purchase', 'value': '0.790716'}]",100.0896,2.316076294277929,0
"9 JANUARY - Timeless, Warm and Stylish Coat - 1.57 - SINGLE PRODUCT",120214794207100719,21.7,1169,33,2.822926,0.657576,2023-07-27,2025-03-18,,20.831999999999997,2.8229255774165956,0
9 JANUARY - Warm Knitted Comfy Sweater - 1.57 - SINGLE PRODUCT,120214794496670719,22.6,952,19,1.995798,1.189474,2023-07-27,2025-03-18,,21.696,1.9957983193277309,0
9 JANUARY -  Dress with Long sleeve Top - 1.53 - SINGLE PRODUCT,120214794665620719,32.1,3163,37,1.169776,0.867568,2023-07-27,2025-03-18,,30.816,1.1697755295605439,0
9 JANUARY - C07 ADS Collection (Jan 07) - COLLECTION,120214794769580719,32.94,997,47,4.714142,0.700851,2023-07-27,2025-03-18,,31.622399999999995,4.714142427281845,0
10 JANUARY - Elegant and Comfortable Dress - 1.54 - SINGLE PRODUCT,120214795335210719,44.49,2242,47,2.096343,0.946596,2023-07-27,2025-03-18,,42.7104,2.096342551293488,0
10 JANUARY - Windproof Wool Jacket - 1.57 - SINGLE PRODUCT,120214795421460719,46.62,3255,101,3.102919,0.461584,2023-07-27,2025-03-18,,44.755199999999995,3.1029185867895546,0
10 JANUARY - Essential Winter Jacket - 1.59 - SINGLE PRODUCT,120214795623500719,23.23,1465,22,1.501706,1.055909,2023-07-27,2025-03-18,,22.3008,1.5017064846416381,0
10 JANUARY - Cheerful Colorful Turtleneck - 1.59 - SINGLE PRODUCT,120214795729470719,22.44,1150,18,1.565217,1.246667,2023-07-27,2025-03-18,,21.5424,1.565217391304348,0
11 JANUARY - Lambskin Leather Jacket - 1.60 - SINGLE PRODUCT,120214858653560719,25.64,1510,38,2.516556,0.674737,2023-07-27,2025-03-18,"[{'action_type': 'offsite_conversion.fb_pixel_purchase', 'value': '3.76092'}]",24.6144,2.5165562913907285,0
11 JANUARY - Soft Winter Pullover - 1.59 - SINGLE PRODUCT,120214858909440719,22.6,2353,24,1.019975,0.941667,2023-07-27,2025-03-18,,21.696,1.019974500637484,0
11 JANUARY - Chic Winter Jacket - 1.56 - SINGLE PRODUCT,120214859105750719,24.17,1514,40,2.642008,0.60425,2023-07-27,2025-03-18,,23.203200000000002,2.642007926023778,0
11 JANUARY - Casual Leather Sneakers - 1.51 - SINGLE PRODUCT,120214859215460719,22.1,1428,10,0.70028,2.21,2023-07-27,2025-03-18,,21.216,0.700280112044818,0
14 JANUARY - Lambskin Leather Jacket - 1.60 - SINGLE PRODUCT,120214915730830719,27.85,2349,45,1.915709,0.618889,2023-07-27,2025-03-18,,26.736,1.9157088122605364,0
14 JANUARY - Elegant Unisex Marten Boots - 1.58 - SINGLE PRODUCT,120214915730840719,25.6,2755,29,1.052632,0.882759,2023-07-27,2025-03-18,,24.576,1.0526315789473684,0
14 JANUARY - C08 ADS Collection (Jan 12) - COLLECTION,120214915730860719,24.49,911,32,3.512623,0.765313,2023-07-27,2025-03-18,,23.510399999999997,3.512623490669594,0
14 JANUARY - Stylish Winter Jacket - 1.59 - SINGLE PRODUCT,120214915731220719,89.42,13074,92,0.703687,0.971957,2023-07-27,2025-03-18,,85.8432,0.7036867064402631,0
19 JANUARY - Elegant Fleece-lined Coat- 1.53 - SINGLE PRODUCT,120215063106810719,69.14,12516,332,2.652605,0.208253,2023-07-27,2025-03-18,,66.3744,2.652604666027485,0
19 JANUARY - Walking Leather Shoes - 1.46 - SINGLE PRODUCT,120215063286490719,81.52,9328,220,2.358491,0.370545,2023-07-27,2025-03-18,"[{'action_type': 'offsite_conversion.fb_pixel_purchase', 'value': '0.815751'}]",78.25919999999999,2.358490566037736,0
