id,name,objective,status,start_time,budget_remaining,original_name,is_collection,is_single_product,collection_code,campaign_date
120218215655180719,17 MARCH - Statement Oversized Hoodie - 1.47 - SINGLE PRODUCT,OUTCOME_SALES,PAUSED,2025-03-17T05:00:00+0000,1439,17 MARCH - Statement Oversized Hoodie - 1.47 - SINGLE PRODUCT,False,True,,17 MARCH
120218215479180719,17 MARCH - Waterproof Leather Shoes - 1.58 - SINGLE PRODUCT - RELAUNCH,OUTCOME_SALES,PAUSED,2025-03-17T05:00:00+0000,825,17 MARCH - Waterproof Leather Shoes - 1.58 - SINGLE PRODUCT - RELAUNCH,False,True,,17 MARCH
120218195231330719,16 MARCH - Casual T-Shirt with V-Neck - 1.46 - SINGLE PRODUCT,OUTCOME_SALES,PAUSED,2025-03-16T05:00:00+0000,5133,16 MARCH - Casual T-Shirt with V-Neck - 1.46 - SINGLE PRODUCT,False,True,,16 MARCH
120218195075000719,16 MARCH - Striped Pants - 1.45 - SINGLE PRODUCT,OUTCOME_SALES,PAUSED,2025-03-16T05:00:00+0000,1770,16 MARCH - Striped Pants - 1.45 - SINGLE PRODUCT,False,True,,16 MARCH
120218194959920719,16 MARCH - Pullover Hooded Sweater - 0.00 - SINGLE PRODUCT,OUTCOME_SALES,PAUSED,2025-03-16T05:00:00+0000,5133,16 MARCH - Pullover Hooded Sweater - 0.00 - SINGLE PRODUCT,False,True,,16 MARCH
120218194819180719,16 MARCH - Winter Trench Coat - 1.79 - SINGLE PRODUCT,OUTCOME_SALES,PAUSED,2025-03-16T05:00:00+0000,1577,16 MARCH - Winter Trench Coat - 1.79 - SINGLE PRODUCT,False,True,,16 MARCH
120218194707060719,16 MARCH - Classic Stitched Leather Orthopedic Shoe - 1.60 - SINGLE PRODUCT,OUTCOME_SALES,PAUSED,2025-03-16T05:00:00+0000,2194,16 MARCH - Classic Stitched Leather Orthopedic Shoe - 1.60 - SINGLE PRODUCT,False,True,,16 MARCH
120218164400250719,15 MARCH - Elegant Tube Jumpsuit - 1.52 - SINGLE PRODUCT,OUTCOME_SALES,PAUSED,2025-03-15T05:00:00+0000,5133,15 MARCH - Elegant Tube Jumpsuit - 1.52 - SINGLE PRODUCT,False,True,,15 MARCH
120218164288220719,15 MARCH - Evening Bliss Hooded Sweater - 1.48 - SINGLE PRODUCT,OUTCOME_SALES,PAUSED,2025-03-15T05:00:00+0000,5133,15 MARCH - Evening Bliss Hooded Sweater - 1.48 - SINGLE PRODUCT,False,True,,15 MARCH
120218164207210719,15 MARCH - Elegant Floral Long Dress - 1.50 - SINGLE PRODUCT,OUTCOME_SALES,PAUSED,2025-03-15T05:00:00+0000,5133,15 MARCH - Elegant Floral Long Dress - 1.50 - SINGLE PRODUCT,False,True,,15 MARCH
120218164131850719,17 MARCH - Deep V-neck dress - 1.47 - SINGLE PRODUCT - RELAUNCH,OUTCOME_SALES,PAUSED,2025-03-15T05:00:00+0000,1886,17 MARCH - Deep V-neck dress - 1.47 - SINGLE PRODUCT - RELAUNCH,False,True,,17 MARCH
120218163863280719,15 MARCH - Elegant V-neck High-waisted Long Dress - 1.54 - SINGLE PRODUCT,OUTCOME_SALES,PAUSED,2025-03-15T05:00:00+0000,1862,15 MARCH - Elegant V-neck High-waisted Long Dress - 1.54 - SINGLE PRODUCT,False,True,,15 MARCH
120218161042160719,15 MARCH - C37 ADS Collection (March 10) - COLLECTION,OUTCOME_SALES,PAUSED,2025-03-15T05:00:00+0000,10133,15 MARCH - C37 ADS Collection (March 10) - COLLECTION,True,False,C37,15 MARCH
120218125239640719,14 MARCH - Elegant Tassel Dress - 1.55 - SINGLE PRODUCT,OUTCOME_SALES,PAUSED,2025-03-14T05:00:00+0000,5133,14 MARCH - Elegant Tassel Dress - 1.55 - SINGLE PRODUCT,False,True,,14 MARCH
120218124776350719,14 MARCH - Light and Comfortable Basket Shoes  - 1.57 - SINGLE PRODUCT,OUTCOME_SALES,PAUSED,2025-03-14T05:00:00+0000,5133,14 MARCH - Light and Comfortable Basket Shoes  - 1.57 - SINGLE PRODUCT,False,True,,14 MARCH
120218124614120719,17 MARCH - Elegant Satin Long Sleeve Suit - 1.60 - SINGLE PRODUCT - RELAUNCH,OUTCOME_SALES,PAUSED,2025-03-14T05:00:00+0000,290,17 MARCH - Elegant Satin Long Sleeve Suit - 1.60 - SINGLE PRODUCT - RELAUNCH,False,True,,17 MARCH
