,Product Name,URL,Campaign Start,Campaign End,Attribution Revenue,Attribution Orders,Attribution Avg Price,Attribution COGS,Attribution Gross Profit,Attribution Net Profit,Attribution ROI (%),Attribution ROAS,Extended Revenue,Extended Orders,Total Revenue,Total Orders,Total Avg Price,Total COGS,Total Gross Profit,Total Net Profit,Total ROI (%),Total ROAS,Ad Spend,Impressions,Clicks,CTR (%),Conversion Rate (%),Attribution Window Revenue (%),Extended Window Revenue (%),CPA,Profit Margin (%),Total Profit Margin (%)
12 FEBRUARY- C21 ADS (Feb 10)- COLLECTION RELAUNCH,"['Black Leather Fur-lined Winter Boots', 'Premium Leather Mid-calf Lace-up Boots', 'Comfy Fleece-lined Snow Ankle Boots', 'Comfy Leather Boots', 'Elegant Unisex Marten Boots', ""Comfortable Women's Leather Boots"", 'Mid-calf Lace-up Boots', 'Elegant Leather Boots', 'Soft Fur-lined Slippers', 'Stylish Winter Boots', 'Elite Ankle Boots', 'High Top Leather Lace-up Sneakers', 'Stylish and Warm Leather Snow Boots', 'Elegant High Heeled Ankle Boots', 'Soft Polar Fur-lined Boots', ""Women's High Top Leather Boots"", 'Fur-trim Winter Boots', 'Platform Sport Shoes', 'Elegant Warm Winter Boots']",https://dd3662-08.myshopify.com/collections/c21-ads-collection-february-10,2025-02-12 00:00:00+00:00,2025-02-19 00:00:00+00:00,1039.0,20,51.95,415.6,623.4,538.4399999999999,633.7570621468926,12.229284369114879,524.5,10,1563.5,30,52.11666666666667,625.4000000000001,938.0999999999999,853.1399999999999,1004.1666666666666,18.40277777777778,84.96,11834,364,3.075883048842319,5.4945054945054945,66.45346977934122,33.546530220658774,4.247999999999999,60.0,60.0
14 FEBRUARY - Elegant Heart Button Cardigan - 1.53 - SINGLE PRODUCT,Elegant Heart Button Cardigan,https://dd3662-08.myshopify.com/products/819312895992004608,2025-02-14 00:00:00+00:00,2025-02-21 00:00:00+00:00,49.95,1,49.95,19.980000000000004,29.97,-9.14,-23.369982101764254,1.277166964970596,0.0,0,49.95,1,49.95,19.980000000000004,29.97,-9.14,-23.369982101764254,1.277166964970596,39.11,3546,120,3.3840947546531304,0.8333333333333334,100.0,0.0,39.11,60.0,60.0
14 FEBRUARY - Breathable Lightweight Casual Lace-up Shoes - 1.53 - SINGLE PRODUCT,Breathable Lightweight Casual Lace-up Shoes,https://dd3662-08.myshopify.com/products/819323505639161856,2025-02-14 00:00:00+00:00,2025-02-21 00:00:00+00:00,0.0,0,0.0,0.0,0.0,-25.63,-100.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,-25.63,-100.0,0.0,25.63,2352,55,2.33843537414966,0.0,0.0,0.0,,,
14 FEBRUARY - Warm Fleece Hat - 1.43 - SINGLE PRODUCT,Warm Fleece Hat [No Sales Found],,2025-02-14 00:00:00+00:00,2025-02-21 00:00:00+00:00,0.0,0,0.0,0.0,0.0,-24.24,-100.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,-24.24,-100.0,0.0,24.24,3431,30,0.8743806470416788,0.0,0.0,0.0,,,
14 FEBRUARY - Women's Double-breasted Coat and Pants Set - 1.59 - SINGLE PRODUCT,Women's Double-breasted Coat and Pants Set [No Sales Found],,2025-02-14 00:00:00+00:00,2025-02-21 00:00:00+00:00,0.0,0,0.0,0.0,0.0,-24.27,-100.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,-24.27,-100.0,0.0,24.27,2021,67,3.3151904997525974,0.0,0.0,0.0,,,
14 FEBRUARY - Elite Winter Clothing Set - 1.59 - SINGLE PRODUCT,Elite Winter Clothing Set,https://dd3662-08.myshopify.com/products/819597944205344768,2025-02-14 00:00:00+00:00,2025-02-21 00:00:00+00:00,719.5500000000001,9,79.95,287.82000000000005,431.73,390.28000000000003,941.5681544028951,17.359469240048252,0.0,0,719.5500000000001,9,79.95,287.82000000000005,431.73,390.28000000000003,941.5681544028951,17.359469240048252,41.45,5518,163,2.953968829285973,5.521472392638037,100.0,0.0,4.605555555555556,60.0,60.0
15 FEBRUARY - Crystal Star Dress - 1.57 - SINGLE PRODUCT,Crystal Star Dress,https://dd3662-08.myshopify.com/products/819597982113464320,2025-02-15 00:00:00+00:00,2025-02-22 00:00:00+00:00,0.0,0,0.0,0.0,0.0,-37.54,-100.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,-37.54,-100.0,0.0,37.54,6573,414,6.29849383842994,0.0,0.0,0.0,,,
15 FEBRUARY- C22 ADS Collection (February 12) - COLLECTION,"['Elegant Floral Dress', 'Premium Elegant Wrap Dress', 'Organic Summer Dress', 'Long Sleeved Lace Maxi Dress', 'Elegant Asymmetrical Dress', 'Elegant Evening Dress with Floral Charm', 'Elegant Ruffled Evening Dress', 'Premium Midi Dress', 'Formal High Quality Midi Dress', 'Comfortable Elegant Pleated Dress', 'Premium Asymmetrical Elegant Dress']",https://dd3662-08.myshopify.com/collections/c22-ads-collection-february-12,2025-02-15 00:00:00+00:00,2025-02-22 00:00:00+00:00,0.0,0,0.0,0.0,0.0,-60.14,-100.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,-60.14,-100.0,0.0,60.14,4724,170,3.598645215918713,0.0,0.0,0.0,,,
15 FEBRUARY - Elegant Lace Jumpsuit - 1.57 - SINGLE PRODUCT,Elegant Lace Jumpsuit,https://dd3662-08.myshopify.com/products/820034790286688256,2025-02-15 00:00:00+00:00,2025-02-22 00:00:00+00:00,54.95,1,54.95,21.980000000000004,32.97,8.239999999999998,33.31985442782045,2.2219975737970077,0.0,0,54.95,1,54.95,21.980000000000004,32.97,8.239999999999998,33.31985442782045,2.2219975737970077,24.73,1998,49,2.4524524524524525,2.0408163265306123,100.0,0.0,24.73,60.0,60.0
15 FEBRUARY - Comfy Block-heeled Loafers - 1.57 - SINGLE PRODUCT,Comfy Block-heeled Loafers,https://dd3662-08.myshopify.com/products/820034782359453696,2025-02-15 00:00:00+00:00,2025-02-22 00:00:00+00:00,0.0,0,0.0,0.0,0.0,-24.56,-100.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,-24.56,-100.0,0.0,24.56,2152,43,1.9981412639405203,0.0,0.0,0.0,,,
